global_epoch,stage_name,stage_epoch,train_loss,val_loss,precision,recall,specificity,f1,lr,elapsed_sec
1,head_only,1,0.6612577526440174,0.6210808902978897,0.9012875536480687,0.06420055029043106,0.9957177434369764,0.11986301369863013,5.5540355677154585e-05,45.61232614517212
2,head_only,2,0.5693024138511695,0.4990842184599708,0.8029229406554473,0.5542647508407215,0.9171476447588903,0.6558147947187557,9.876843545689525e-05,47.25901389122009
3,head_only,3,0.4592225588307592,0.40179842469446797,0.8414634146341463,0.6961173952919596,0.9201266058462111,0.7619206960013385,9.259540824083929e-05,46.49034380912781
4,head_only,4,0.39174284070289783,0.3494810341473888,0.8280864197530864,0.8202384591867931,0.8962949171476448,0.824143756719398,8.642238102478333e-05,45.02101159095764
5,head_only,5,0.3494217529746112,0.3126971877234824,0.8848149429263231,0.7820238459186794,0.9380003723701359,0.8302499188575138,8.024935380872739e-05,45.479694843292236
6,head_only,6,0.321377124105181,0.28759766775457296,0.8813008130081301,0.8284928156527056,0.9320424501954944,0.8540813110620864,7.407632659267143e-05,45.733908891677856
7,head_only,7,0.2994773225684471,0.2698243652086924,0.8904421326397919,0.8373586059309079,0.9372556320983058,0.8630849220103987,6.790329937661547e-05,46.18826866149902
8,head_only,8,0.2838147260946006,0.25697924908907976,0.892960462873674,0.8492815652705594,0.9380003723701359,0.8705734879348167,6.173027216055953e-05,46.56562328338623
1,head_only,1,0.6612577526440174,0.6210808902978897,0.9012875536480687,0.06420055029043106,0.9957177434369764,0.11986301369863013,5.5540355677154585e-05,45.01798725128174
2,head_only,2,0.5693024138511695,0.4990842184599708,0.8029229406554473,0.5542647508407215,0.9171476447588903,0.6558147947187557,9.876843545689525e-05,44.99180054664612
3,head_only,3,0.4592225588307592,0.40179842469446797,0.8414634146341463,0.6961173952919596,0.9201266058462111,0.7619206960013385,9.259540824083929e-05,44.97705698013306
4,head_only,4,0.39174284070289783,0.3494810341473888,0.8280864197530864,0.8202384591867931,0.8962949171476448,0.824143756719398,8.642238102478333e-05,45.42781043052673
5,head_only,5,0.3494217529746112,0.3126971877234824,0.8848149429263231,0.7820238459186794,0.9380003723701359,0.8302499188575138,8.024935380872739e-05,44.995094537734985
6,head_only,6,0.321377124105181,0.28759766775457296,0.8813008130081301,0.8284928156527056,0.9320424501954944,0.8540813110620864,7.407632659267143e-05,44.95318531990051
7,head_only,7,0.2994773225684471,0.2698243652086924,0.8904421326397919,0.8373586059309079,0.9372556320983058,0.8630849220103987,6.790329937661547e-05,45.1726336479187
8,head_only,8,0.2838147260946006,0.25697924908907976,0.892960462873674,0.8492815652705594,0.9380003723701359,0.8705734879348167,6.173027216055953e-05,45.15012216567993
9,head_only,9,0.2723753632142626,0.24678293927846587,0.8934010152284264,0.860898807704066,0.9374418171662633,0.8768488245368208,5.5557244944503574e-05,45.12846517562866
