global_epoch,stage_name,stage_epoch,train_loss,val_loss,precision,recall,specificity,f1,lr,elapsed_sec
1,pooler_plus_last8,1,3.3140260755241693,3.2988411692472606,0.005524741232475871,0.03571428571428571,0.9642857142857143,0.009569197019554446,9.999999999999999e-06,25.8540358543396
2,pooler_plus_last8,2,3.0288303827310536,2.7327575179246755,0.005524741232475871,0.03571428571428571,0.9642857142857143,0.009569197019554446,1.9999999999999998e-05,25.839869022369385
3,pooler_plus_last8,3,2.594379974650098,2.4919365506905775,0.03751974915289204,0.0606929182249808,0.9687705309694545,0.04485969342286019,3e-05,26.860339164733887
4,pooler_plus_last8,4,2.384343243264533,2.3706232767838697,0.04934601321208571,0.08740469145874614,0.9712806781849918,0.058079001933668765,2.9361702127659574e-05,26.156556129455566
5,pooler_plus_last8,5,2.2028758827742045,2.327557066312203,0.06773234447965872,0.12211086316902722,0.9727697610182627,0.07534834823351967,2.872340425531915e-05,26.967345714569092
6,pooler_plus_last8,6,2.0040319902556285,2.297405639520058,0.07679060584690063,0.14109370026783877,0.9742647002871878,0.09267490930673647,2.8085106382978723e-05,27.306804895401
7,pooler_plus_last8,7,1.7738780735375046,2.350295807306583,0.08850383166311895,0.15171628026639442,0.9751925694415791,0.10373651256677165,2.74468085106383e-05,27.142473936080933
8,pooler_plus_last8,8,1.5714150411742074,2.4260830260240116,0.1524102371615647,0.1778983887610134,0.975918717534097,0.1409175580924004,2.6808510638297873e-05,25.967108011245728
9,pooler_plus_last8,9,1.4019821379091832,2.566103465282,0.12706563251788638,0.1872003919385731,0.9767886920590513,0.14639917164805713,2.617021276595745e-05,26.0988986492157
10,pooler_plus_last8,10,1.243626361543482,2.670593877251332,0.20756000609044967,0.24200824869865412,0.9789470476879542,0.2087072479336375,2.5531914893617022e-05,25.83447265625
