global_epoch,stage_name,stage_epoch,train_loss,val_loss,precision,recall,specificity,f1,roc_auc,lr,elapsed_sec
1,head_only,1,3.2566014543756263,2.946941925929143,0.007583067785706805,0.035805694661717465,0.96433596285216,0.010566088419851405,0.0,3.3333333333333335e-05,31.830000400543213
2,head_only,2,2.8807830887955506,2.845388889312744,0.005526430755788554,0.03571428571428571,0.9642867260828382,0.009571731234866829,0.0,6.666666666666667e-05,31.93515110015869
3,head_only,3,2.8142961201729713,2.7009655191348148,0.025855876595908853,0.059656459865057083,0.9676220811498758,0.029231855863211476,0.0,0.0001,32.02103352546692
4,head_only,4,2.6505473852157593,2.542071622151595,0.04973615349911401,0.08220997579659405,0.9701776575486646,0.05588291046543011,0.0,9.896907216494846e-05,31.935028553009033
5,head_only,5,2.515998132817157,2.3732475271591773,0.07400039422627849,0.11738393399129017,0.9729289154186423,0.08680430328680969,0.0,9.793814432989691e-05,31.94511079788208
6,head_only,6,2.404403700456991,2.2764052955003886,0.10206720749304947,0.13270541968464558,0.9742766552581,0.09921618178801063,0.0,9.690721649484537e-05,32.16331386566162
7,head_only,7,2.3412655274589342,2.2094648205316982,0.11168502243020717,0.1403131373985494,0.9748808221913156,0.11205184970855009,0.0,9.587628865979382e-05,31.851435899734497
8,head_only,8,2.2640002547920526,2.141632167192606,0.11887503288589506,0.15100694832232545,0.9755875615881333,0.12313081105386027,0.0,9.484536082474227e-05,32.16038417816162
9,head_only,9,2.209243827826017,2.124857159761282,0.13217430060066532,0.15507397929533442,0.9757304935482777,0.12670073242319416,0.0,9.381443298969073e-05,31.949663162231445
10,head_only,10,2.148789014135088,2.0103671779999366,0.14668982351574403,0.17472383924141802,0.9771363403807467,0.1469710731137007,0.0,9.278350515463918e-05,32.00734043121338
11,head_only,11,2.0931453611943627,1.9490339480913603,0.15627041261689273,0.18430868023517039,0.9777320575607547,0.1575227672939891,0.0,9.175257731958763e-05,32.293275117874146
12,head_only,12,2.0422663061649766,1.8688163298826952,0.20972207224410713,0.19641413314224604,0.9787044149902818,0.17138989300764879,0.0,9.072164948453609e-05,31.97909641265869
13,head_only,13,1.9837905098865558,1.8308835946596587,0.21951532042291694,0.19992323320999586,0.9788505899136303,0.17395592599117307,0.0,8.969072164948454e-05,32.06458377838135
14,head_only,14,1.951363661072471,1.8054476540822249,0.20505964112319017,0.20647548443103933,0.9791019543008712,0.18444736750726878,0.0,8.865979381443299e-05,31.97827911376953
15,head_only,15,1.9388805264002318,1.7878357355411236,0.21700182488587844,0.20250807787548455,0.9790252099119884,0.1784496733266678,0.0,8.762886597938145e-05,32.08190631866455
16,head_only,16,1.8965852059327162,1.752416574037992,0.22925192400980363,0.21985334433857145,0.9796923344144657,0.20102293406035598,0.0,8.65979381443299e-05,31.86849045753479
17,head_only,17,1.8852790733436486,1.7298146509207213,0.23242967401167536,0.22092211864058595,0.9798648084126652,0.20239657271107855,0.0,8.556701030927835e-05,31.991226196289062
18,head_only,18,1.8680439390145338,1.749309166119649,0.23636475667549564,0.22421069188628096,0.9799383837890717,0.20766217143970794,0.0,8.453608247422681e-05,32.16183257102966
19,head_only,19,1.8618220624985633,1.7083228849447691,0.25193131774913696,0.22964950475369203,0.9800845283740421,0.2179049850537911,0.0,8.350515463917527e-05,31.837000370025635
20,head_only,20,1.838251405722135,1.691847134094972,0.256249275289505,0.2285666600409885,0.9801605634874315,0.21442551435066323,0.0,8.247422680412371e-05,32.150479793548584
21,head_only,21,1.8186548677357761,1.6846022353722498,0.24472732883199327,0.2313814740589099,0.9802649889335878,0.21707260064127823,0.0,8.144329896907217e-05,31.980141162872314
22,head_only,22,1.8001126910184886,1.6776564717292786,0.25146110108575603,0.2345993690108879,0.9803021245999003,0.21946229801445524,0.0,8.041237113402063e-05,31.983906507492065
23,head_only,23,1.8031609011934948,1.6789076397052178,0.30177215163328175,0.23124022183717136,0.9801062006205948,0.2195938428858568,0.0,7.938144329896907e-05,32.034079790115356
24,head_only,24,1.792554929658964,1.6522406752292926,0.2821159006791106,0.2453402667208663,0.9807958558420372,0.23524512569316733,0.0,7.835051546391753e-05,31.94025754928589
25,head_only,25,1.7758257358105152,1.6516558803044832,0.2832003739516217,0.23736114308487063,0.9805166038421719,0.22598254822023883,0.0,7.731958762886599e-05,32.10920834541321
26,head_only,26,1.7689058246550622,1.6445870422399962,0.2836635678445332,0.24154542514025948,0.9805852041109347,0.2333603749624817,0.0,7.628865979381443e-05,32.02513837814331
27,head_only,27,1.7726199363733266,1.6400187680354485,0.29838985759423853,0.24131907627170976,0.9806468608598123,0.23214315630126275,0.0,7.525773195876289e-05,31.870022535324097
28,head_only,28,1.7539412325078791,1.6446692530925457,0.2817209627364429,0.23888127308777968,0.9803233425893613,0.22623335008774076,0.0,7.422680412371135e-05,32.10507798194885
29,head_only,29,1.7467192868133643,1.6145047820531404,0.2649905741741076,0.2514905549434721,0.9809782873595736,0.23620916358220984,0.0,7.319587628865979e-05,32.000051975250244
30,head_only,30,1.7329219564214928,1.6079478653577657,0.32398944764478943,0.2528434104086906,0.9808708566027776,0.24378489551603638,0.0,7.216494845360825e-05,31.905927896499634
